keyword,amount,type,group,,,,,,,
north america,42,finance,medium,,,,,,,
prevention,42,obesity,medium,,,,,,,
depression,42,healthcare,medium,,,,,,,
hepatocellular carcinoma,41,cancer,medium,,,,,,,
meta-analysis,41,population,medium,,,,,,,
policy,41,finance,medium,,,,,,,
treatment,41,disease,medium,,,,,,,
immunohistochemistry,41,cancer,medium,,,,,,,
cancer,41,healthcare,medium,,,,,,,
immunotherapy,41,cancer,medium,,,,,,,
developing countries,40,cholera,medium,,,,,,,
coronary artery disease,40,diabetes,medium,,,,,,,
adolescents,40,obesity,medium,,,,,,,
quality of life,40,population,medium,,,,,,,
glucose,40,diabetes,medium,,,,,,,
elderly,40,malnutrition,medium,,,,,,,
risk factors,40,disease,medium,,,,,,,
hiv,40,population,medium,,,,,,,
oncology,40,cancer,medium,,,,,,,
incidence,40,population,medium,,,,,,,
*economic development,40,finance,medium,,,,,,,
diabetic retinopathy,40,diabetes,medium,,,,,,,
outcomes,40,heart,medium,,,,,,,
homocysteine,40,malnutrition,medium,,,,,,,
public health,40,healthcare,medium,,,,,,,
cardiomyopathy,39,heart,low,,,,,,,
breast cancer,39,disease,low,,,,,,,
surgery,39,cancer,low,,,,,,,
biomarkers,39,disease,low,,,,,,,
percutaneous coronary intervention,39,heart,low,,,,,,,
heart transplantation,39,heart,low,,,,,,,
anaerobic digestion,39,sanitation,low,,,,,,,
mitochondria,39,heart,low,,,,,,,
diagnosis,39,disease,low,,,,,,,
incidence,39,mortality,low,,,,,,,
neurodegeneration,38,death,low,,,,,,,
dementia,38,population,low,,,,,,,
chronic kidney disease,38,diabetes,low,,,,,,,
survival,38,disease,low,,,,,,,
quality of life,38,disease,low,,,,,,,
complications,38,mortality,low,,,,,,,
cytotoxicity,38,cancer,low,,,,,,,
meta-analysis,38,diabetes,low,,,,,,,
healthcare,38,healthcare,low,,,,,,,
screening,38,population,low,,,,,,,
aortic stenosis,38,heart,low,,,,,,,
adipokines,38,obesity,low,,,,,,,
nurses,38,workforce,low,,,,,,,
survival,38,heart,low,,,,,,,
atrial fibrillation,38,death,low,,,,,,,
mitochondria,38,diabetes,low,,,,,,,
outcome,38,heart,low,,,,,,,
coronary artery disease,38,mortality,low,,,,,,,
polycystic ovary syndrome,37,obesity,low,,,,,,,
genetics,37,heart,low,,,,,,,
meta-analysis,37,disease,low,,,,,,,
meta-analysis,37,cancer,low,,,,,,,
cardiovascular disease,37,death,low,,,,,,,
outcomes,37,death,low,,,,,,,
hypertension,37,disease,low,,,,,,,
cholera toxin,37,cholera,low,,,,,,,
biomarker,37,disease,low,,,,,,,
stroke,37,disease,low,,,,,,,
health care and public health,37,finance,low,,,,,,,
hba1c,37,diabetes,low,,,,,,,
pregnancy,37,heart,low,,,,,,,
heart failure,36,diabetes,low,,,,,,,
quality of life,36,healthcare,low,,,,,,,
prostate cancer,36,population,low,,,,,,,
blood pressure,36,diabetes,low,,,,,,,
adolescents,36,population,low,,,,,,,
glycemic control,36,diabetes,low,,,,,,,
inflammation,36,population,low,,,,,,,
epidemiology,36,cancer,low,,,,,,,
smoking,36,obesity,low,,,,,,,
patient safety,36,healthcare,low,,,,,,,
alzheimer?fetyolpubli,36,disease,low,,,,,,,
sanitation,36,sanitation,low,,,,,,,
meta-analysis,36,heart,low,,,,,,,
macroeconomic factors,36,finance,low,,,,,,,
prevention,35,hygiene,low,,,,,,,
non-alcoholic fatty liver disease,35,obesity,low,,,,,,,
adipocyte,35,obesity,low,,,,,,,
aging,35,population,low,,,,,,,
diabetes,35,death,low,,,,,,,
gestational diabetes,35,diabetes,low,,,,,,,
prevention,35,population,low,,,,,,,
atherosclerosis,35,obesity,low,,,,,,,
training,35,workforce,low,,,,,,,
depression,35,diabetes,low,,,,,,,
hiv,35,healthcare,low,,,,,,,
diabetes,35,mortality,low,,,,,,,
coronary artery disease,35,death,low,,,,,,,
mortality,34,malnutrition,low,,,,,,,
population characteristics,34,finance,low,,,,,,,
mortality,34,disease,low,,,,,,,
palliative care,34,death,low,,,,,,,
head and neck cancer,34,cancer,low,,,,,,,
diabetes,34,disease,low,,,,,,,
screening,34,mortality,low,,,,,,,
sudden death,34,death,low,,,,,,,
cancer,34,diabetes,low,,,,,,,
hypertension,34,healthcare,low,,,,,,,
cardiovascular diseases,34,obesity,low,,,,,,,
enteral nutrition,34,malnutrition,low,,,,,,,
heart failure,34,disease,low,,,,,,,
mental health,34,population,low,,,,,,,
gestational diabetes mellitus,34,diabetes,low,,,,,,,
*critique,34,finance,low,,,,,,,
hiv,34,mortality,low,,,,,,,
delivery of health care,34,finance,low,,,,,,,
breast cancer,34,population,low,,,,,,,
cervical cancer,34,cancer,low,,,,,,,
bladder cancer,33,cancer,low,,,,,,,
public health,33,obesity,low,,,,,,,
pancreatic cancer,33,cancer,low,,,,,,,
adipogenesis,33,obesity,low,,,,,,,
lifestyle,33,obesity,low,,,,,,,
obesity,33,disease,low,,,,,,,
chemotherapy,33,death,low,,,,,,,
infection,33,mortality,low,,,,,,,
public health,33,population,low,,,,,,,
body mass index,33,diabetes,low,,,,,,,
cardiovascular diseases,33,diabetes,low,,,,,,,
children,33,mortality,low,,,,,,,
cardiac resynchronization therapy,32,heart,low,,,,,,,
prevention,32,healthcare,low,,,,,,,
atherosclerosis,32,disease,low,,,,,,,
body weight,32,obesity,low,,,,,,,
workforce development,32,workforce,low,,,,,,,
education,32,healthcare,low,,,,,,,
risk factors,32,death,low,,,,,,,
prevalence,32,hygiene,low,,,,,,,
africa south of the sahara,32,finance,low,,,,,,,
metabolic syndrome,32,population,low,,,,,,,
autonomic nervous system,32,heart,low,,,,,,,
health services,32,finance,low,,,,,,,
wastewater,32,sanitation,low,,,,,,,
nursing,32,healthcare,low,,,,,,,
children,32,healthcare,low,,,,,,,
obesity,32,malnutrition,low,,,,,,,
asthma,32,disease,low,,,,,,,
treatment,32,population,low,,,,,,,
infections,32,cholera,low,,,,,,,
screening,32,disease,low,,,,,,,
mortality,32,obesity,low,,,,,,,
diabetes mellitus,32,heart,low,,,,,,,
energy expenditure,32,obesity,low,,,,,,,
metabolism,31,diabetes,low,,,,,,,
multiple sclerosis,31,disease,low,,,,,,,
mitochondria,31,obesity,low,,,,,,,
obesity,31,healthcare,low,,,,,,,
suicide,31,death,low,,,,,,,
cytotoxicity,31,death,low,,,,,,,
heart failure,31,healthcare,low,,,,,,,
health,31,cholera,low,,,,,,,
genetics,31,disease,low,,,,,,,
research methodology,31,finance,low,,,,,,,
complications,31,obesity,low,,,,,,,
pregnancy,31,death,low,,,,,,,
diabetes,31,healthcare,low,,,,,,,
liver,31,obesity,low,,,,,,,
hypertension,31,death,low,,,,,,,
obesity,31,mortality,low,,,,,,,
periodontitis,31,hygiene,low,,,,,,,
obstructive sleep apnea,31,obesity,low,,,,,,,
cancer,31,obesity,low,,,,,,,
colon cancer,30,cancer,low,,,,,,,
chemotherapy,30,disease,low,,,,,,,
hygiene hypothesis,30,hygiene,low,,,,,,,
dementia,30,healthcare,low,,,,,,,
pregnancy,30,mortality,low,,,,,,,
exercise,30,diabetes,low,,,,,,,
depression,30,disease,low,,,,,,,
pregnancy,30,healthcare,low,,,,,,,
aging,30,heart,low,,,,,,,
cardiovascular,30,heart,low,,,,,,,
invasion,30,cancer,low,,,,,,,
primary care,30,population,low,,,,,,,
heavy metals,30,sanitation,low,,,,,,,
wastewater treatment,30,sanitation,low,,,,,,,
apoptosis,30,heart,low,,,,,,,
congenital heart disease,30,disease,low,,,,,,,
insulin secretion,29,diabetes,low,,,,,,,
myocardial infarction,29,diabetes,low,,,,,,,
prevention,29,diabetes,low,,,,,,,
cardiac surgery,29,heart,low,,,,,,,
hypothalamus,29,obesity,low,,,,,,,
meta-analysis,29,hygiene,low,,,,,,,
vitamin d deficiency,29,malnutrition,low,,,,,,,
liver transplantation,29,mortality,low,,,,,,,
acute myocardial infarction,29,heart,low,,,,,,,
mortality,29,healthcare,low,,,,,,,
elderly,29,healthcare,low,,,,,,,
polymorphism,29,population,low,,,,,,,
prostate cancer,29,disease,low,,,,,,,
chronic kidney disease,29,mortality,low,,,,,,,
recurrence,29,cancer,low,,,,,,,
adiposity,29,obesity,low,,,,,,,
food intake,29,obesity,low,,,,,,,
sudden cardiac death,29,heart,low,,,,,,,
breast cancer,29,mortality,low,,,,,,,
dyslipidemia,28,obesity,low,,,,,,,
coronary artery disease,28,obesity,low,,,,,,,
undernutrition,28,malnutrition,low,,,,,,,
phytoremediation,28,sanitation,low,,,,,,,
quality improvement,28,healthcare,low,,,,,,,
acute heart failure,28,heart,low,,,,,,,
inflammation,28,hygiene,low,,,,,,,
targeted therapy,28,cancer,low,,,,,,,
alzheimer's disease,28,death,low,,,,,,,
abdominal obesity,28,obesity,low,,,,,,,
heart failure,28,obesity,low,,,,,,,
primary care,28,obesity,low,,,,,,,
cardiovascular risk,28,diabetes,low,,,,,,,
continuous glucose monitoring,28,diabetes,low,,,,,,,
aging,28,diabetes,low,,,,,,,
pulmonary hypertension,28,disease,low,,,,,,,
acute coronary syndrome,28,heart,low,,,,,,,
mortality,28,hygiene,low,,,,,,,
catheter ablation,28,heart,low,,,,,,,
blood glucose,27,diabetes,low,,,,,,,
africa,27,cholera,low,,,,,,,
diagnosis,27,heart,low,,,,,,,
insulin sensitivity,27,obesity,low,,,,,,,
microglia,27,death,low,,,,,,,
tetralogy of fallot,27,heart,low,,,,,,,
communication,27,healthcare,low,,,,,,,
diseases,27,finance,low,,,,,,,
prognosis,27,diabetes,low,,,,,,,
organizations,27,finance,low,,,,,,,
latin america,27,finance,low,,,,,,,
smoking,27,population,low,,,,,,,
myocardial infarction,27,disease,low,,,,,,,
cardiovascular diseases,27,heart,low,,,,,,,
aging,27,disease,low,,,,,,,
p53,27,death,low,,,,,,,
screening,27,healthcare,low,,,,,,,
adiponectin,27,diabetes,low,,,,,,,
staphylococcus aureus,27,hygiene,low,,,,,,,
prognosis,27,population,low,,,,,,,
primary care,27,workforce,low,,,,,,,
children,27,diabetes,low,,,,,,,
treatment,27,healthcare,low,,,,,,,
health promotion,27,obesity,low,,,,,,,
necrosis,27,death,low,,,,,,,
nanoparticles,27,cancer,low,,,,,,,
dental caries,27,hygiene,low,,,,,,,
children,26,disease,low,,,,,,,
streptozotocin,26,diabetes,low,,,,,,,
pediatrics,26,heart,low,,,,,,,
compliance,26,hygiene,low,,,,,,,
25-hydroxyvitamin d,26,malnutrition,low,,,,,,,
screening,26,cancer,low,,,,,,,
trauma,26,mortality,low,,,,,,,
metabolic syndrome,26,heart,low,,,,,,,
proliferation,26,cancer,low,,,,,,,
neurodegeneration,26,disease,low,,,,,,,
cytokines,26,diabetes,low,,,,,,,
gastric cancer,26,mortality,low,,,,,,,
p53,26,cancer,low,,,,,,,
children,26,heart,low,,,,,,,
dental hygiene,26,hygiene,low,,,,,,,
rheumatoid arthritis,26,disease,low,,,,,,,
hiv,26,death,low,,,,,,,
*population growth,26,finance,low,,,,,,,
diabetes mellitus,26,population,low,,,,,,,
drug delivery,26,cancer,low,,,,,,,
quality of life,26,obesity,low,,,,,,,
magnetic resonance imaging,26,disease,low,,,,,,,
patient satisfaction,26,healthcare,low,,,,,,,
atrial fibrillation,26,population,low,,,,,,,
parenteral nutrition,26,malnutrition,low,,,,,,,
gender,26,obesity,low,,,,,,,
lipids,26,obesity,low,,,,,,,
english speaking africa,26,finance,low,,,,,,,
asthma,26,population,low,,,,,,,
body mass index,26,malnutrition,low,,,,,,,
systematic review,26,healthcare,low,,,,,,,
quality of life,26,diabetes,low,,,,,,,
colorectal cancer,26,mortality,low,,,,,,,
anxiety,26,population,low,,,,,,,
percutaneous coronary intervention,25,death,low,,,,,,,
type 1 diabetes mellitus,25,diabetes,low,,,,,,,
stress,25,heart,low,,,,,,,
aging,25,healthcare,low,,,,,,,
elderly,25,death,low,,,,,,,
primary care,25,diabetes,low,,,,,,,
outcomes,25,healthcare,low,,,,,,,
nutrition assessment,25,malnutrition,low,,,,,,,
prevention,25,disease,low,,,,,,,
intervention,25,obesity,low,,,,,,,
population,25,cholera,low,,,,,,,
aging,25,death,low,,,,,,,
percutaneous coronary intervention,25,mortality,low,,,,,,,
pneumonia,25,mortality,low,,,,,,,
editorials,25,heart,low,,,,,,,
diabetes mellitus,25,mortality,low,,,,,,,
united states,25,finance,low,,,,,,,
quality of care,25,healthcare,low,,,,,,,
survival,25,population,low,,,,,,,
schizophrenia,25,population,low,,,,,,,
angiogenesis,25,heart,low,,,,,,,
periodontal disease,25,hygiene,low,,,,,,,
prevention,25,mortality,low,,,,,,,
glucose,25,obesity,low,,,,,,,
gastric bypass,25,obesity,low,,,,,,,
atherosclerosis,25,death,low,,,,,,,
africa,25,hygiene,low,,,,,,,
obesidad,25,obesity,low,,,,,,,
bacterial and fungal diseases,25,cholera,low,,,,,,,
cost,25,healthcare,low,,,,,,,
apoptosis,25,obesity,low,,,,,,,
asthma,25,obesity,low,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
